pergunta;resposta  
O que é o IPCC?;Intergovernamental body de UN sobre mudanças climáticas  
Quais organizações criaram o IPCC?;WMO e UNEP  
Quantos países são membros do IPCC?;195  
Qual é a duração de um ciclo de avaliação do IPCC?;Six to seven years  
Quais são os grupos de trabalho do IPCC?;Three working groups and a task force  
Onde está o secretariado do IPCC?;Geneva, Switzerland  
Qual prêmio o IPCC recebeu em 2007?;Nobel Peace Prize with Al Gore  
Quando começou o sexto ciclo de avaliação?;2015  
Quando terminará o sexto ciclo?;2023  
Quais são exemplos de relatórios especiais do IPCC?;Special Report on Global Warming of 1.5°C (2018)
