pergunta;resposta
"Quando foi fundada a Comunidade Europeia do Carvão e do Aço?;1952"  
"Qual é o objetivo principal do direito da União Europeia?;Promover paz e justiça social"  
"Quem cria a jurisprudência da União Europeia?;Tribunal de Justiça da União Europeia"  
"Em quais áreas John Bell atua?;Direito da União Europeia"  
"Qual disciplina a Revista de Direito do Mercado Comum atua?;Direito da União Europeia"  
"Qual é o tema principal do Direito da União Europeia?;Direito da União Europeia"  
"Que modelo de página wiki é usado pelo Direito da União Europeia?;Template:R from move"  
"O que é Henry G. Schermers no contexto do Direito da União Europeia?;Subdisciplina"  
"Qual outro modelo de página wiki é associado ao Direito da União Europeia?;Template:Redirect category shell"  
"O que forma a estrutura constitucional da União Europeia?;Tratados da União Europeia"
