pergunta;resposta
1. Onde o Reno nasce?;na cantão suíço de Graubünden
2. Quais cidades estão localizadas ao longo do Reno?;Colônia, Roterdão, Estrasburgo
3. Qual é o comprimento do Reno?;1.230 km
4. Em quais países o Reno flui?;Suíça, Alemanha, Países Baixos, França
5. Qual é o desvio médio do Reno?;2.900 m³/s
6. Qual é o nome francês do Reno?;Rhin
7. Quais estados alemães têm nome relacionado ao Reno?;North Rhine-Westphalia e Rhineland-Palatinate
8. O Reno é parte de qual fronteira histórica?;Fronteira romana
9. Para onde o Reno desemboca?;Mar do Norte
10. De onde o nome "Reno" vem?;Celta Rēnos
Onde o Reno nasce?;na cantão suíço de Graubünden  
Quais cidades estão localizadas ao longo do Reno?;Colônia, Roterdão, Estrasburgo  
Qual é o comprimento do Reno?;1.230 km  
Em quais países o Reno flui?;Suíça, Alemanha, Países Baixos, França  
Qual é o desvio médio do Reno?;2.900 m³/s  
Qual é o nome francês do Reno?;Rhin  
Quais estados alemães têm nome relacionado ao Reno?;North Rhine-Westphalia e Rhineland-Palatinate  
O Reno é parte de qual fronteira histórica?;Fronteira romana  
Para onde o Reno desemboca?;Mar do Norte  
De onde o nome "Reno" vem?;Celta Rēnos
