pergunta;resposta
Qual é a função principal do sistema imunológico?;Proteger os organismos de doenças.
O que o sistema imunológico detecta e responde contra?;Patógenos, células cancerígenas e objetos estranhos.
Quais são os dois principais subsistemas do sistema imunológico?;Sistema imunológico inato e sistema imunológico adaptativo.
Qual é o sistema imunológico responsável por proteger o cérebro?;Sistema neuroimune.
O que separa o sistema neuroimune do restante do sistema imunológico?;A barreira hematoencefálica.
Como são chamados os agentes reconhecidos pelo sistema imunológico?;Patógenos.
Qual é a imunidade que cria memória e melhora a resposta a infecções futuras?;Imunidade adaptativa.
Quais tipos de imunidade existem?;Imunidade humoral e imunidade mediada por células.
O que acontece quando o sistema imunológico é menos ativo do que o normal?;Imunodeficiência.
Qual é o termo para um sistema imunológico hiperativo que ataca tecidos saudáveis?;Autoimunidade.
