pergunta;resposta
Qual foi a data do tratado que legitima os assentamentos normandos na França?;911
Quem liderava os assentamentos normandos na França?;Rollo
Onde ocorreu o cerco que levou ao Tratado de Saint-Clair-sur-Epte?;Chartres
Qual foi o resultado da tomada de Normandia por Felipe II da França?;Duche de Normandia perdeu terras
Em qual ano os normandos conquistaram a Inglaterra?;1066
Quem era conhecido como "Richard sem Peur"?;Richard I de Normandia
Qual idioma os vikings normandos adotaram na França?;francês
O que representa o principal legado dos normandos na cultura moderna?;influência linguística e cultural
Qual foi a conquista significativa da Sicília pelos normandos?;fundação do Reino de Sicília por Rogério II
Quem fundou o Principado de Antioquia?;Boêmundo I
