Pergunta;Resposta
O que é o sistema imunológico?;Proteção contra doenças
Quais são os dois principais subsistemas do sistema imunológico?;Sistema imunológico inato e sistema imunológico adaptativo
Qual é a função principal do sistema neuroimune?;Proteger o cérebro dos patógenos
O que causa a imunodeficiência?;Atividade menor que o normal do sistema imunológico
Quais são os agentes detectados pelo sistema imunológico?;Patógenos
Como é criada a imunidade adaptativa?;Através da adaptação para reconhecer melhor os patógenos
O que ocorre quando o sistema imunológico se torna hiperativo e ataca tecidos normais?;Autoimunidade
Qual é o nome do subsistema do sistema imunológico responsável pela resposta rápida a patógenos comuns?;Sistema imunológico inato
O que são as células B no contexto do sistema imunológico?;Produzem anticorpos para neutralizar patógenos
Qual é o papel das células T no sistema imunológico?;Reconhecem e destruírem células infectadas
