pergunta;resposta
Capital of Victoria;Melbourne
Population of Victoria;over 6.5 million
Most densely populated state in Australia;Victoria
Largest city in Victoria;Melbourne
Main economic sector in Victoria;service sectors
Victoria's rank in population among Australian states;second
Capital of the Australian federation;Melbourne
Largest city in Australasia;Melbourne
Main geographic feature in Victoria;Victorian Alps
Historical event that increased Victoria's population and wealth;Victorian gold rush
