pergunta;resposta
Let me structure each line with "pergunta;resposta" format, making sure not to exceed 10 pairs and keeping answers concise.
pergunta;resposta
Qual é a população de Jacksonville?;949.611
Em qual estado está localizada Jacksonville?;Flórida
Qual condado abrange Jacksonville?;Duval County
Quando foi consolidada Jacksonville com Duval County?;1968
Qual rio atravessa Jacksonville?;St. Johns River
Qual é o apelido de Jacksonville?;"The River City"
Quantos municípios estão na área metropolitana de Jacksonville?;14
Qual time de basquete da NCAA vive em Jacksonville?;Florida Gators
Quem fundou a colônia Fort Caroline?;Franceses
O que caracteriza economicamente Jacksonville?;Porto marítimo e indústria militar
