pergunta;resposta
Wait, the context says that private schools are not government-funded. So a question could be "What is the main difference between private and public schools?" with the answer being "not government-funded." But the example given in the user's example was "Juntamente com as escolas não-governamentais e não estatais, qual é o outro nome para escolas particulares?;independentes," which is about another name for private schools. So maybe I can use that as a starting point but vary it.
Wait, but the answer must be concise. Let me check the example again. The user's example had "Juntamente com o Canadá e o Reino Unido, que país geralmente não se refere às universidades como escolas particulares?;Austrália". So that's a question about a country that doesn't call universities private schools. But the context doesn't mention that. However, the user's example included that, so maybe that's part of the knowledge base. But since the user's context is limited to the given abstract, maybe that's an external fact. But according to the instructions, the answers must be from the given context. Wait, the user said "Use the content below (abstract, triplas e exemplos few-shot) as base of knowledge." The abstract is the first paragraph, and the facts are the list of examples. So maybe the user's example about the country is part of the knowledge, but I need to check if that's in the given context.
juntamente com as escolas não-governamentais e não estatais, qual é o outro nome para escolas particulares?;independentes  
qual é a principal característica de escolas particulares?;operam de forma independente  
qual é a diferença principal entre escolas particulares e públicas?;não são financiadas pelo governo  
qual é o corpo diretor de escolas particulares?;conselho de administração  
qual é o termo para escolas que não dependem de financiamento governamental?;particulares  
qual é o oposto de uma escola particular?;pública  
qual é a principal fonte de financiamento para escolas particulares?;doações privadas  
qual é o termo para escolas que não são administradas pelo governo?;particulares  
qual é a principal característica de uma escola particular?;autossuficiência  
qual é o termo para escolas que não são governamentais?;particulares
