pergunta;resposta
1. Qual o nome da cidade mencionada no texto?;Fresno
2. Em que estado dos EUA está localizada a cidade de Fresno?;Califórnia
3. Em que região da Califórnia está localizada Fresno?;Vale Central
4. Quantos habitantes tinha Fresno em 2020?;542.107
5. Em que ano foi fundada a cidade de Fresno?;1872
6. O que a cidade de Fresno foi originalmente?;Estação ferroviária
7. Qual a porcentagem da população hispânica em Fresno em 2020?;50,5%
8. Que parque nacional está a 60 milhas ao norte de Fresno?;Yosemite
9. Que cidade está a 170 milhas ao norte de Fresno?;Sacramento
10. Qual é o status populacional de Fresno na Califórnia?;5ª maior cidade
pergunta;resposta
Qual o nome da cidade mencionada no texto?;Fresno
Em que estado dos EUA está localizada a cidade de Fresno?;Califórnia
Em que região da Califórnia está localizada Fresno?;Vale de San Joaquin
Quantos habitantes tinha Fresno em 2020?;542.107
Em que ano foi fundada a cidade de Fresno?;1872
O que a cidade de Fresno foi originalmente?;Estação ferroviária
Qual a porcentagem da população hispânica em Fresno em 2020?;50,5%
Que parque nacional está a 60 milhas ao norte de Fresno?;Yosemite
Que cidade está a 170 milhas ao norte de Fresno?;Sacramento
Qual é o status populacional de Fresno na Califórnia?;5ª maior cidade
