pergunta;resposta
First, the user wants the output in Portuguese, with semicolons as separators. Each line should be "pergunta;resposta", and the answers should be concise, up to 10 words. The questions must be relevant, varied, and based on the given context, facts, or examples.
For instance, "De que organização o IPCC faz parte?;as Nações Unidas," is a question about the parent organization. Another example is about the president's nationality. So, similar patterns can be followed.
I need to cross-reference the facts provided. For example, the fact "Intergovernmental Panel on Climate Change tem sede principal em Geneva" can be a question: "Onde está localizada a sede principal do IPCC?;Geneva, Switzerland,".
Also, the facts mention "Rajendra K. Pachauri possui ocupação Intergovernmental Panel on Climate Change" and "Quando Pachauri renunciou ao cargo de presidente do IPCC?;fevereiro de 2015," from the example. So, I can use that.
pergunta;resposta
De que organização o IPCC faz parte?;as Nações Unidas
Quais organizações estabeleceram o IPCC em 1988?;OMM e PNUMA
Quantos estados-membros compõem o IPCC?;195
Quem é o atual presidente do IPCC?;Hoesung Lee
Onde está localizada a sede principal do IPCC?;Geneva, Switzerland
Quem foi o primeiro presidente do IPCC?;Bert Bolin
Quando o IPCC recebeu o Prêmio Nobel da Paz?;2007
Qual relatório do IPCC influenciou a Convenção de Paris?;Quinta Avaliação
Em que ano foi publicado o relatório sobre Aquecimento de 1,5°C?;2018
Qual é o prazo para o sexto ciclo de avaliação do IPCC?;2023
