pergunta;resposta
O que é um número primo?;um número natural maior que 1 que não é produto de dois números naturais menores
Qual teorema destaca a importância dos números primos na teoria dos números?;O teorema fundamental da aritmética
Qual método simples mas lento para verificar a primalidade de um número?;divisão de teste
Quantos dígitos tem o maior número primo conhecido até 2018?;24.862.048 dígitos decimais
Quem demonstrou que existem infinitos números primos?;Euclides, por volta de 300 a.C.
Qual teorema descreve a distribuição estatística dos números primos?;O teorema do número primo
Para que são usados os números primos em tecnologia da informação?;criptografia de chave pública
Quantos números primos existem?;infinitos, conforme demonstrado por Euclides
O que é um número composto?;um número maior que 1 que não é primo
Qual método é usado para encontrar números primos de forma eficiente?;o crivo de Eratóstenes
