pergunta;resposta  
A escola privada não é administrada por quem?;governo  
O que as escolas privadas não dependem para financiamento?;governo  
O que assegura a operação independente das escolas privadas?;sistema de governo  
Como as escolas privadas são geralmente governadas?;conselho de administração  
Qual a principal diferença entre escolas privadas e públicas?;administração governamental  
Que tipo de escola não é financiada pelo governo?;privada  
Qual é o papel do conselho de administração nas escolas privadas?;gestão independente  
O que assegura a independência das escolas privadas?;sistema de governança  
Qual é a principal fonte de financiamento das escolas privadas?;patrimônio privado  
Qual é a característica principal das escolas privadas?;independência do governo
