pergunta;resposta
Qual é a população de Jacksonville em 2020?;949.611
Qual é a cidade mais extensa dos EUA?;Jacksonville
Em que ano Jacksonville se consolidou com Duval County?;1968
Qual rio Jacksonville atravessa?;Rio St. Johns
Qual colônia francesa existiu em Jacksonville?;Fort Caroline
Por quem Jacksonville foi nomeado?;Andrew Jackson
Qual a população da área metropolitana de Jacksonville?;1.733.937
Qual é o principal porto de Jacksonville?;Porto de Jacksonville
Qual setor é fundamental na economia de Jacksonville?;Serviços
Como os moradores de Jacksonville são chamados?;Jacksonvillians ou Jaxsons
