```csv
pergunta;resposta
Qual a área total aproximada da floresta amazônica?;7.000.000 km²
Quantos países compartilham o território da floresta amazônica?;nove
Qual porcentagem das florestas tropicais do planeta é representada pela Amazônia?;mais da metade
Qual país contém a maior parte da floresta amazônica?;Brasil
Qual o nome alternativo usado para descrever a floresta amazônica?;Amazonia
Quantas espécies de árvores são estimadas na floresta amazônica?;16.000
Qual a porcentagem da floresta amazônica que está dentro do Brasil?;60%
Qual o número estimado de pessoas que vivem na Amazônia?;mais de 30 milhões
Quantos territórios indígenas são formalmente reconhecidos na Amazônia?;3.344
Qual a principal razão pela qual a Amazônia é importante para o planeta?;representa mais da metade das florestas tropicais remanescentes
```
