pergunta;resposta
Quem desenvolveu inicialmente o conceito de commutação por pacotes?;Paul Baran
O que compõe os pacotes na comunicação de dados?;Cabeçalho e carga útil
Para que serve a informação contida no cabeçalho dos pacotes?;Direcionar o pacote ao destino
Em qual década foi desenvolvido o conceito de commutação por pacotes?;Década de 1960
Qual cientista da computação britânico contribuiu para a popularização do termo "commutação por pacotes"?;Donald Davies
O que é essencial na comunicação de dados em redes de computadores globais?;Commutação por pacotes
Por qual órgão foi financiado o programa de pesquisa de Paul Baran sobre commutação por pacotes?;Corporação RAND
Qual foi a finalidade original da research de Paul Baran sobre commutação por pacotes?;Fornecer um método de roteamento eficiente e tolerante a falhas
O termo "commutação por pacotes" foi cunhado por quem?;Donald Davies
Em qual país o conceito de commutação por pacotes foi incorporado na design do ARPANET?;Estados Unidos
