pergunta;resposta
O que são pacotes em comutação de pacotes?;Grupo de dados com cabeçalho e payload
Quem desenvolveu o conceito de comutação de pacotes nos anos 1960?;Paul Baran
Qual termo foi cunhado por Donald Davies para comutação de pacotes?;Comutação de pacotes
Qual era o objetivo da pesquisa de Paul Baran?;Roteamento tolerante a falhas e eficiente
Qual organização financiou a pesquisa de Paul Baran?;Departamento de Defesa dos EUA
Qual o nome do conceito de Paul Baran?;Comutação adaptativa de blocos de mensagem distribuída
Qual rede incorporou o conceito de comutação de pacotes?;ARPANET
O que o conceito de Baran contradizia?;Alocação prévia de largura de banda
Quem foi um importante promotor da comutação de pacotes após Baran?;Donald Davies
Qual é a base principal para comunicações de dados?;Comutação de pacotes
