pergunta;resposta
O que é comutação de pacotes?;um método de agrupar dados em pacotes
Qual cientista desenvolveu o conceito de "distributed adaptive message block switching"?;Paul Baran
Em que ano Donald Davies cunhou o termo moderno "comutação de pacotes"?;1965
Qual o objetivo principal do trabalho de Paul Baran?;fornecer um método de roteamento tolerante a falhas
O que contradizia as ideias de Baran em relação às redes de telecomunicações?;a pré-alocação da largura de banda da rede
Qual organização financiou a pesquisa de Paul Baran?;Departamento de Defesa dos Estados Unidos
Além de Paul Baran, quem também é creditado por contribuir para a comutação de pacotes?;Donald Davies
Qual é a unidade básica de dados na comutação de pacotes?;pacotes
Onde a ideia de comutação de pacotes foi incorporada, além dos EUA?;na ARPANET
Qual a importância do cabeçalho em um pacote?;direcionar o pacote para o destino correto
