pergunta;resposta
Yes, that should cover 10 distinct points. Now, format them into CSV with semicolons. Make sure no markdown, just plain text. Check the example's format. Each line is "pergunta;resposta".
Onde os huguenotes estavam concentrados na França?;as partes sul e ocidental da França  
Quem liderava os huguenotes durante as guerras?;Jeanne d'Albret, seu filho e príncipes de Condé  
Qual tratado encerrou as Guerras da Religião?;o Edicto de Nantes  
O que o Edicto de Fontainebleau fez em 1685?;revogou todos os direitos dos protestantes  
Qual evento causou a redução drástica dos huguenotes?;a perseguição sob Luís XIV  
O que eram as dragonnades?;forças militares para converter protestantes  
Quando a perseguição oficial terminou?;com o Edicto de Versalhes em 1787  
Qual foi a proporção de huguenotes na população em 1572?;até 10% da população francesa  
De onde o termo "huguenote" pode ter origem?;do político suíço Bezanson Hugues  
Qual cidade foi centro da perseguição em 1572?;Paris durante a Noite de São Bartolomeu
