pergunta;resposta
Qual é o conceito fundamental da mecânica clássica apresentado no texto?;Força
Segundo a segunda lei de Newton, qual é a relação entre força e momento linear?;A força que age sobre um objeto é igual à derivada temporal do momento linear deste objeto.
Qual é o termo técnico para as influências que causam deformação da matéria em um corpo fixo?;Tensão mecânica ou estresse mecânico
Quais são alguns conceitos relacionados à força mencionados no texto?;Pressão, arrasto e torque.
Qual hiperônimo é compartilhado por Royal Irish Constabulary e National Militia (Spain)?;Force
Qual modelo de página wiki é usado pela força?;Template:Wiktionary
O estresse mecânico em um fluido determina quais mudanças?;Determina mudanças na pressão e volume.
Qual hiperônimo é compartilhado por Jatiya Rakkhi Bahini e Hellenic Navy?;Force
Qual é a relação entre força e velocidade de rotação, conforme mencionada no texto?;A força pode causar mudanças na velocidade de rotação através do torque.
Qual hiperônimo é compartilhado por Economic Community of West African States Monitoring Group e Law Enforcement Force of Islamic Republic of Iran?;Force
