pergunta;resposta
Qual é o nome em inglês do estado de Vitória?;Victoria
Quando Vitória alcançou o autogoverno?;1855
Em qual estado da Austrália está localizado o rio Wallagaraugh?;Vitória
Onde nasceu Peter Nugent?;Vitória (Austrália)
Qual é o PIB nominal per capita de Vitória em dólares australianos?;AU$68,996
Em qual estado da Austrália está localizada a Trafalgar High School?;Vitória
Quem é o primeiro-ministro de Vitória?;Daniel Andrews
Qual lago está perto de Melbourne?;Lago Colac
Onde foi educado James Ryan O'Neill?;Vitória (Austrália)
Qual tipo de região é Vitória?;AdministrativeRegion
