pergunta;resposta
Quando começou a crise petrolífera de 1973?;outubro de 1973
Qual foi o principal país que proclamou o embargo petrolífero?;Organização dos Países Árabes Exportadores de Petróleo (OPAEP)
Quais nações foram inicialmente alvo do embargo?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos
Qual foi o principal impacto econômico da crise?;O preço do petróleo aumentou de US$ 3 para aproximadamente US$ 12 por barril entre outubro de 1973 e março de 1974
Qual termo foi usado para descrever a situação econômica após o embargo?;Choque do petróleo
Qual consequência política resultou da crise?;Negociações para que Israel se afastasse de tropas e territórios em troca de suprimentos de petróleo
Quem negociou a retirada de tropas israelenses do Sinai?;Henry Kissinger, em 18 de janeiro de 1974
Qual data marcou o fim do embargo?;março de 1974
Quando os Estados Unidos abandonaram o Acordo de Bretton Woods?;15 de agosto de 1971
Qual consequência econômica afetou a inflação e a escassez?;A crise resultou em uma nova era de inflationária e escassez de petróleo
