pergunta;resposta
Qual é o título de fundação de Jacksonville, Flórida?;Fundada
Qual é a temperatura mínima média em fevereiro em Jacksonville, Flórida?;46,1°F
Qual é a precipitação em junho em Jacksonville, Flórida?;7,6 polegadas
Qual é a temperatura mínima média registrada em maio em Jacksonville, Flórida?;50,7°F
Qual é a densidade populacional de Jacksonville, Flórida por quilômetro quadrado?;490,63
Qual é a população da área metropolitana de Jacksonville, Flórida?;1.733.937
Qual é a classificação populacional de Jacksonville, Flórida?;12º
Quais são os apelidos de Jacksonville, Flórida?;"Jax"", ""A Cidade do Rio"", ""A Nova Cidade Corajosa do Sul"
A que categoria Jacksonville, Flórida pertence?;Categoria:Jacksonville, Flórida
Qual é a densidade populacional de Jacksonville, Flórida?;490,63 por quilômetro quadrado
