pergunta;resposta
Qual foi o impacto populacional da Peste Negra na Europa?;Estima-se que a Peste Negra tenha matado entre 30% a 60% da população da Europa.
Qual foi a origem da Peste Negra segundo o contexto?;A Peste Negra provavelmente teve sua origem na Ásia Central ou na Ásia Oriental.
Qual é a causa da Peste Negra segundo o texto?;A bactéria Yersinia pestis, que causa as formas de peste septicémica, pneumónica e bubónica.
Quando a Peste Negra atingiu o pico na Europa?;Entre os anos de 1347 e 1351.
Como a Peste Negra se espalhou pela Europa?;Viajando pela Rota da Seda, atingindo a Crimeia em 1343, e depois sendo transportada por pulgas nos ratos em navios mercantes genoveses.
Qual foi a redução estimada da população mundial no século XIV devido à Peste Negra?;De 475 milhões para 350–375 milhões.
Quantos anos levou para a Europa recuperar sua população anterior à Peste Negra?;Cerca de 200 anos.
Quais foram as formas mais comuns de transmissão da Peste Negra?;Por meio de pulgas que viviam nos ratos, causando a forma bubónica, que era a mais comum.
Qual é o nome do documento histórico citado como fonte da descrição da Peste Negra?;Chronicon Angliae, de Geoffrey the Baker.
A Peste Negra é classificada como qual tipo de evento epidemiológico?;Uma pandemia, sendo a segunda pandemia de peste.
