pergunta;resposta
Qual é o processo geológico responsável pela formação de rochas sedimentares?;Sedimentação
A tectônica de placas é a principal causa de quais fenômenos geológicos?;Terremotos e vulcões
O que são rochas metamórficas?;Rochas que sofreram transformação devido a altas temperaturas e pressões.
Qual a definição de erosão?;Processo de desgaste e remoção de materiais rochosos pela ação de agentes como água, vento e gelo.
O que são fósseis?;Restos fossilizados de seres vivos ou suas vestígias.
Qual o principal agente responsável pela formação de geleiras?;Baixas temperaturas
O que é a litosfera?;A camada externa sólida do nosso planeta.
O que são vulcões?;Estruturas geológicas formadas pelo acúmulo de material vulcânico.
Qual a importância da escala de Mohs para a geologia?;Classificar a dureza das rochas.
O que é a delação em geologia?;Processo de fraturamento e deformação da crosta terrestre.
