pergunta;resposta
Qual é a capital da Polónia?;Varsóvia
Qual rio flui pelas margens de Varsóvia?;Rio Vístula
Qual evento histórico levou à destruição do Gueto de Varsóvia?;Levante do Gueto de Varsóvia em 1943
Quem nasceu em Varsóvia, segundo os fatos fornecidos?;Zbigniew Brzezinski
Qual instituição possui sede principal em Varsóvia?;Ministério da Fazenda da Polónia
Qual é a temperatura média em Varsóvia durante maio?;14,8 °C
Qual monumento histórico está localizado na Cidade Velha de Varsóvia?;Castelo Real
Qual organização internacional tem sede em Varsóvia?;Frontex
Qual universidade está localizada em Varsóvia?;Universidade de Varsóvia
Qual é o recorde de temperatura mínima em Varsóvia durante abril?;-1,6 °C
