pergunta;resposta
Qual o filo ao qual os Ctenóforos pertencem?;Ctenophora
Qual característica distintiva define os Ctenóforos em relação a outros animais marinhos?;A presença de fileiras de cílios (ctenosomos) usados para locomoção
Como os Ctenóforos se alimentam?;Capturando presas com tentáculos adesivos ou através de cílios
Qual a principal forma de locomoção dos Ctenóforos?;Movimento através de fileiras de cílios
Onde os Ctenóforos são encontrados?;Em ambientes marinhos
Qual a função dos ctenosomes nos Ctenóforos?;Auxiliar na locomoção
Como os Ctenóforos são classificados em relação ao seu ciclo de vida?;Podem ser poliploides, frequentemente com múltiplos conjuntos de cromossomos
Qual é a principal diferença entre os tentáculos de Ctenóforos e os de Cnidários?;Os Ctenóforos possuem tentáculos adesivos, enquanto os Cnidários usam nematocistos (células urticantes)
Qual a característica relacionada à estrutura genética dos Ctenóforos que os torna notáveis?;Apresentam frequentemente poliploidia
Qual o principal método de captura de alimento utilizado pelos Ctenóforos?;Uso de tentáculos adesivos e cílios
