pergunta;resposta
Qual a área total aproximada da bacia Amazônica?;7 milhões de quilômetros quadrados
Qual porcentagem da floresta amazônica está localizada no Brasil?;60%
Além do Brasil, qual país possui a segunda maior parte da floresta amazônica?;Peru
Qual o nome da área delimitada no Brasil para fins de governo e economia?;Amazônia Legal
A Amazônia ocupa qual porcentagem do território brasileiro?;49,29%
Em que ano uma área do centro da Amazônia foi reconhecida pela UNESCO como Patrimônio da Humanidade?;2000
Em qual categoria a Amazônia foi classificada na seleção das Sete Maravilhas Naturais do Mundo?;Grupo E, a categoria para as florestas, parques nacionais e reservas naturais
A Amazônia abrange quais divisões regionais do Brasil?;Norte, Nordeste e Centro-Oeste
Qual o nome nativo da floresta amazônica em espanhol?;Selva amazónica
Qual o tipo de bioma a Amazônia é considerada no Brasil?;o maior bioma terrestre do país
