pergunta;resposta
Quais são os três tipos principais de rochas?;Igneous, sedimentary e metamorphic
Qual é a ordem correta dos períodos geológicos?;Eon, era, período e época
Qual propriedade é usada para classificar minerais?;Dureza
Como se chamam as placas que movem-se na superfície da Terra?;Placas tectônicas
Qual é o significado dos fósseis na geologia?;Evidências de vida antiga que ajudam a dataar a Terra e entender a evolução das espécies
Quais são os três tipos de erosão?;Erosão física, química e biológica
Como se formam as rochas sedimentares?;Formam-se a partir de sedimentos acumulados e compactados ao longo do tempo
Quais são os dois tipos principais de vulcões?;Subterrâneo e de fissura
Quais são as camadas da Terra?;Coração, manto e crosta
Qual é a principal causa de terremotos?;Movimento das placas tectônicas
