pergunta;resposta
Qual é um exemplo de uma classe de complexidade que representa problemas cuja soluções podem ser verificadas em tempo polilogiamico?;CLasse P
Em que ramo da computação a complexidade computacional tem seu raízes?;Ciência da Computação Teórica
Qual é um dos teoremas mais importantes na complexidade computacional?;Teorema da Hierarquia de Cook-Levin
Para que serve a Reduction em algoritmos?;Prove a complexidade de problemas NP-completos
Qual é o nome da classe que representa os problemas que podem ser resolvidos com algorítimos determinísticos em tempo polinomial?;P
O que significa dizer que um problema é NP-completo?;É NP e Reduction de todos os problemas NP-completos a ele
Qual é o propósito da conjectura P vs NP?;Determinar se todo problema cuja solução pode ser verificada em tempo polinomial pode também ser resolvido em tempo polinomial.
O que é um algorítimo de aproximação?;Algorítimos que encontram soluções approximadas para problemas NP-hard
Qual é o significado da notação Θ na complexidade algorítmica?;O giro do Complexidade Assintótica, representando both superioridade e inferioridade.
Para que serve a diagramação de classes de complexidade?;Organizar e mostrar as relações entre diferentes classes de complexidade
