pergunta;resposta
Qual é o número atômico do oxigénio?;8
O oxigénio é classificado como qual tipo de elemento?;Não metal reactivo e um forte agente oxidante
Qual é a principal aplicação do dioxigénio (O2)?;Suportar a vida terrestre
Qual é a característica mais marcante da electronegatividade do oxigénio?;A segunda mais elevada de todos os elementos químicos
Qual a principal razão para o diminuição da proporção de oxigénio na atmosfera?;As emissões procedentes da queima de combustíveis fósseis
Qual é a função do ozono (O3) na atmosfera?;Absorver radiação ultravioleta
Em que contexto o oxigénio é utilizado na indústria?;Corte industrial e soldadura de aços e outros metais
Qual a importância do oxigénio na respiração celular?;É essencial para a produção de energia nas células
Qual a principal razão pela qual o oxigénio é um componente essencial para a vida?;É fundamental para o processo de fotossíntese
Qual a característica que define o oxigénio como um agente oxidante?;Capacidade de aceitar eletrões
