pergunta;resposta
Qual o ano de fundação da Universidade de Harvard?;1636
Em qual cidade e estado a Universidade de Harvard está localizada?;Cambridge, Massachusetts, Estados Unidos
Qual é o lema da Universidade de Harvard?;Veritas
Quem foi o primeiro africano-americano a obter um doutorado pela Universidade de Harvard?;W.E.B. Du Bois
Quantos volumes são aproximadamente contidos na biblioteca da Universidade de Harvard?;Mais de 18 milhões
Qual é a escola de negócios da Universidade de Harvard?;Harvard Business School
Qual é o mascote da Universidade de Harvard?;O Crimson
Quais são as cores da Universidade de Harvard?;Crimson e dourado
Qual é o tipo de instituição da Universidade de Harvard?;Privada
Quem é a presidente atual da Universidade de Harvard?;Claudine Gay
