pergunta;resposta;resgaard
Qual é a posição de Jacksonville na lista das cidades mais populosas dos Estados Unidos?;12;
Quem foi o primeiro governador militar do Território da Flórida, para quem Jacksonville foi nomeado?;Andrew Jackson;
Qual é a data de fundação oficial de Jacksonville?;9 de fevereiro de 1832;
Quem nasceu em Jacksonville e é conhecido como o líder da banda Lynyrd Skynyrd?;;Leonard Skinner
Qual evento desportivo ocorreu no EverBank Field em fevereiro de 2005?;XXXIX Super Bowl;
Qual é a densidade populacional de Jacksonville (em habitantes por km²)?;490.63;
Quem nasceu em Jacksonville e fundou o canal do YouTube Smosh?;Ian Hecox;
Qual é a precipitação média de junho em Jacksonville (em polegadas)?;7.6;
Qual banda originária de Jacksonville lançou o álbum 'Second Helping'?;Lynyrd Skynyrd;
Quantas pessoas vivem na área metropolitana de Jacksonville, de acordo com os dados mais recentes?;1733937;
