pergunta;resposta
Quem cunhou o termo 'sistema imunitário' e em que ano?;Ilya Ilyich Mechnikov em 1882.
Qual é a principal função do sistema imunitário segundo o texto?;Proteger o organismo contra doenças.
Quais são os mecanismos básicos do sistema imunitário mencionados no texto?;Fagocitose, defensinas e sistema complemento.
O que caracteriza a imunidade adquirida?;A capacidade de criar memória imunológica para responder mais eficientemente a novos ataques.
Qual é a base científica da vacinação, conforme o texto?;A imunidade adquirida.
Quais são as causas da imunodeficiência mencionadas no texto?;Doenças genéticas, infecção pelo HIV/SIDA e uso de imunossupressores.
Como se define a autoimunidade segundo o texto?;O sistema imunitário ataca tecidos normais do próprio organismo.
Quais doenças são citadas como exemplos de autoimunidade no texto?;Artrite reumatóide e diabetes mellitus tipo 1.
Qual é a área científica que estuda o sistema imunitário?;A imunologia.
Quais células mencionadas nos fatos fazem parte do sistema imunitário?;Células B, células T, células dendríticas e macrófagos.
