pergunta;resposta
Qual foi a primeira instituição criada pela União Europeia após a Segunda Guerra Mundial?;Comunidade Europeia do Carvão e do Aço
Qual é o objetivo principal das leis da União Europeia conforme descrito no contexto?;Promover a paz, seus valores e o bem-estar de seus povos
Qual instituição afirma que a União Europeia representa uma nova ordem jurídica de direito internacional?;Tribunal de Justiça da União Europeia
Quais são as funções das instituições da União Europeia mencionadas no contexto?;Transcender os Estados-nação para fins de cooperação e desenvolvimento humano
Qual é a principal fonte de direito primário da União Europeia?;Tratados que instituem a União Europeia
Qual é o nome do periódico acadêmico associado ao direito da União Europeia?;Common Market Law Review
Qual é o nome do especialista em direito associado ao direito da União Europeia?;John Bell
Qual é a subdisciplina de Henry G. Schermers?;Direito da União Europeia
Qual modelo de página wiki é utilizado no direito da União Europeia?;Template:R from word rearrangement
Como o Tribunal de Justiça da União Europeia caracteriza a ordem jurídica da União?;Uma nova ordem jurídica de direito internacional
