pergunta;resposta;responde
Qual é a origem grega da palavra farmácia?;φάρμακον (pharmakôn);
O que estuda a ciência praticada pelos farmacêuticos?;fármacos, drogas e medicamentos;
Qual é uma das ocupações listadas na área de farmácia?;Pierre Joseph Pelletier;
O que o grupo DPSP faz?;pertence à indústria Pharmacy;
Que jornal está relacionado com a farmácia?;Current Trends in Biotechnology and Pharmacy;
Qual empresa tem serviços de farmácia?;Gelson's Markets;
Que tipo de formação é usada na farmácia?;Doctor of Pharmacy, Master of Pharmacy, Bachelor of Pharmacy, Diploma in Pharmacy;
Qual empresa pertence à indústria farmacêutica?;Revco;
O que faz Bartell Drugs?;;pertence à indústria Pharmacy
Qual é uma revista relacionada com a farmácia?;Journal of Pharmaceutical Sciences;
