pergunta;resposta;extra_info
Qual é a característica principal do ctenophora que permite sua identificação?;pentes' - grupos de cílios;
Em qual filo biológico o ctenophora se encontra classificado?;Animalia (Animais);
Quem foi o cientista que primeiro descreveu o ctenophora?;Eschscholtz, em 1829;
Qual é a divisão taxonômica principal do ctenophora?;*Tentaculata;Embora esta seja uma subdivisão, ela serve para ilustrar os níveis de subdivisão
Qual é o modelo de página usado pelo ctenophora em sua representação?;Template:Animalia;
Em qual série do Cambriano o ctenophora apareceu?;Series 2;
Como se chama a imagem representativa de um ctenophora juvenil?;Bolinopsis ctenophore.jpg;
Qual é o tipo taxonômico do ctenophora?;WikicatCtenophores;
Em que ano o Ctenophora foi descrito pela primeira vez?;1829;
Qual é a subdivisão taxonômica mais baixa do ctenophora?;*Tentaculata;Esta divisão serve para ilustrar os níveis de subdivisão, embora seja uma subdivisão
