pergunta;resposta
Qual é o estado com o menor tamanho do continente da Austrália?;Vitória
Em qual bairro de Melbourne está localizado o Melbourne Cricket Ground?;Jardim do Cricket de Melbourne, considerado o 'lar espiritual' do críquete australiano.
Qual foi a capital federal da Austrália até a construção de Camberra?;Melbourne
Quem foi o primeiro-ministro de Vitória desde 2014?;Daniel Andrews, do Partido Trabalhista.
Qual é o tipo de código postal usado em Vitória?;Postcodes in Australia.
Em qual localização está situada a African Safari World?;Victoria (Australia)
Qual é o estado mais densamente populado da Austrália após Nova Gales do Sul?;Vitória.
Em que ano Vitória alcançou o autogoverno?;1855.
Qual é a economia mais diversificada de Vitória?;Serviços, saúde, educação, atacado, varejo, hospitalidade e manufatura.
Quem foi o primeiro a estabelecer um assentamento europeu na área que hoje é Vitória?;John Batman em 1803 na Baía de Sullivan.
