pergunta;resposta
Quem cunhou o termo sistema imunitário?;Ilya Ilyich Mechnikov
Qual é a função principal do sistema imunitário?;Proteger o organismo contra doenças
O que são defensinas?;Peptídeos antimicrobianos
Qual é um exemplo de doença relacionada a problemas no sistema imunitário?;Artrite reumatóide
Quais células estão envolvidas na resposta adaptativa do sistema imunológico?;Células T e B
Qual doença pode ser prevenida através da vacinação?;Poliomielite
O que é a fagocitose?;Um mecanismo de defesa do sistema imunitário
Qual tipo de célula está envolvida na resposta imune contra infecções virais?;Células T
O que é a memória imunológica?;A capacidade do organismo de se lembrar de agentes patogênicos específicos
Qual especialização médica estuda doenças relacionadas ao sistema imunitário?;Rheumatologia
