pergunta;resposta;responde
Qual é a população aproximada da região do sul da Califórnia em 2019?;Aproximadamente 23,8 milhões de pessoas;
Onde está localizado o oceano que faz fronteira com Southern California no oeste?;Oceano Pacífico;
Qual empresa de sorvete atende à região de Southern California?;Fosselman's Ice Cream Company;
Quem é um exemplo de pessoa nascida em Southern California?;Jill Barnett;
Qual modelo de página wiki é usado para representar Southern California?;Template:Wide image;
Qual evento sísmico afetou os países de Southern California em 1987?;Terremoto Whittier Narrows;
Qual é a área total da região Southern California em milhas quadradas?;;56,505 mi²
Quem é um exemplo de banda com origem em Southern California?;Mumps (rock band);
Qual empresa financeira atende à região de Southern California?;OneWest Bank;
Qual modelo de página wiki é usado para representar a categoria Southern California?;Template:California;
