pergunta;resposta
Quem introduziu o conceito moderno de comutação de pacotes?;Donald Davies
Qual é o principal objetivo da comutação de pacotes?;otimizar a largura de banda, minimizar a latência e aumentar a robustez na comunicação
O que distinguiria a comutação de circuitos da comutação de pacotes?;A comutação de circuitos estabelece uma ligação virtual dedicada, enquanto a comutação de pacotes envia cada pacote individualmente
Qual recurso a comutação de pacotes usa para otimizar a rede?;técnicas de multiplexagem temporal estatística
Quem desenvolveu o Switching Adaptive Message Block?;Paul Baran
Qual vantagem a comutação de pacotes tem em comparação à comutação de circuitos?;permite que os recursos da rede sejam utilizados mais eficientemente sem necessidade de uma ligação dedicada
O que é significado por comutação de pacotes sem ligação?;os pacotes são encaminhados independentemente, permitindo uma maior flexibilidade e robustez na rede
Qual ano foi associado ao desenvolvimento de redes usando comutação de pacotes?;anos 60 e 70
Qual é o objetivo principal da multiplexagem estatística na comutação de pacotes?;agrupar fluxos de dados diferentes em um único link de transmissão
Quem ajudou a criar redes específicas usando comutação de pacotes?;Donald Davies e outros pesquisadores na Europa
