pergunta;resposta
Qual termo é frequentemente utilizado no Brasil para referir-se a ampliações, inovações ou restaurações de imóveis?;reforma
O que inclui todas as etapas desde a fundação ao acabamento em um projeto de construção?;execução do projeto previamente elaborado
Qual empresa pertence à indústria da Construção e tem como produto 'Construction'?;Liberty Property Trust
Quem atua no setor de atividade Construction, sendo um exemplo de alguém que trabalha com tijolos?;Bricklayer
Qual projeto possui hiperônimo 'Construction' e se refere a uma edificação histórica?;Castle of Ucero
Que empresa do Japão usa o modelo de página wiki Template:JAP para Construction?;Aecon
Qual é um exemplo de uma obra maior destinada à infraestrutura, como pontes e viadutos, mencionado na descrição da construção?;obras de arte
Quais normas são respeitadas durante a execução das etapas do projeto em uma obra de construção?;normas técnicas vigentes
Qual termo é sinônimo de 'obra' e também frequentemente utilizado para descrever atividades na indústria da Construção?;construção
O que o modelo de página wiki Template:RUS está associado, em termos de indústria ou conteúdo?;Construction
