pergunta;resposta
Qual é o objetivo do islamismo na sociedade e governo?;Reordenação.
Onde se originou o Hamas?;Palestina.
Qual é o objetivo de grupos como Hezbollah e Hamas?;Abolir o estado de Israel.
Que estratégia usam organizações islâmicas para tomar o poder?;Revolução ou invasão.
Em que processo islamitas moderados trabalham?;Democrático.
O que os movimentos islâmicos veem como oscilando entre si?;Moderado e radical.
Que aspectos da vida o islamismo procura integrar?;Todas as esferas da vida.
O que organizações islâmicas radicais rejeitam inteiramente?;Democracia.
Em que base organizam ataques grupos islâmicos radicais?;Religiosos.
Qual é a natureza do islamismo?;Movimento de reavivamento islâmico.
