pergunta;resposta
Qual foi a causa principal da Peste Negra?;A bactéria Yersinia pestis.
De onde a Peste Negra provavelmente teve sua origem?;Ásia Central ou Ásia Oriental.
Qual foi a porcentagem estimada da população europeia que morreu durante a Peste Negra?;30% a 60%.
Como a Peste Negra se espalhou pela Europa?;Por meio de pulgas que viviam em ratos, transportadas por navios mercantes genoveses.
Qual é o nome da bactéria responsável pela Peste Negra?;Yersinia pestis.
Quais são as três formas de peste causadas pela Yersinia pestis?;Bubônica, pneumônica e septicêmica.
Quanto tempo levou para a população europeia se recuperar após a Peste Negra?;Aproximadamente 200 anos.
Qual autor é mencionado como fonte para informações sobre a Peste Negra?;Geoffrey the Baker.
Qual é o nome da imagem que mostra a pulga oriental?;Xenopsylla chepsis (oriental rat flea).
Qual modelo foi utilizado na página da Wikipédia sobre a Peste Negra?;Template:Sfn.
