pergunta;resposta;responde
Quem eram os huguenotes na França?;Os huguenotes eram os protestantes franceses durante as guerras religiosas no século XVI.;
Quantos huguenotes deixaram a França após a revogação do Édito de Nantes em 1685?;Cerca de 300.000 huguenotes deixaram a França.;
Qual foi o principal líder da perseguição contra os huguenotes na França sob Luís XIV?;Luís XIV;
Qual foi a religião predominante entre os huguenotes que deixaram a França?;Calvinismo (Igreja Reformada);
Onde estavam localizados majoritariamente os luteranos na França?;Alsácia, Moselle e Montbéliard;
Qual evento marcou a revogação dos direitos protestantes na França em 1685?;A revogação do Édito de Nantes;
Por que muitos huguenotes deixaram a França em massa após 1685?;Devido às perseguições e à revogação dos direitos religiosos concedidos pelo Édito de Nantes.;
Qual cidade americana foi nomeada em homenagem aos huguenotes?;Huguenot, Orange County, New York;
Como os huguenotes eram também conhecidos na França?;;Protestantes franceses durante as guerras religiosas.
Qual foi o principal efeito da revogação do Édito de Nantes para a comunidade huguenote?;A perseguição massiva dos huguenotes e sua subsequente emigração.;
