pergunta;resposta;responde
Quem introduziu o termo 'geologia' de forma definitiva em 1779?;Horace-Bénédict de Saussure;
Qual é a principal função do geólogo no contexto dos recursos naturais?;localizar e gerir os recursos naturais, petróleo, carvão e metais como ouro, ferro, cobre e urânio;
Qual é a idade aproximada da Terra conforme determinado pela geologia?;cerca de 4,6 bilhões de anos;
Em qual sistema celeste os estudos similares à geologia são designados como astrogeologia?;outros corpos do sistema celeste;
Qual lei regulamenta a profissão de geólogo no Brasil?;Lei nº 4.076, de 23 de junho de 1962;
Quem é conhecido por seu trabalho na área de Geologia entre os nomes fornecidos?;;Ferdinand von Roemer
Qual jornal está associado à disciplina de Geologia?;Episodes (journal);
Quantos cursos presenciais de graduação em Geologia e Engenharia Geológica existem no Brasil, conforme mencionado?;35;
Qual livro é referenciado como pertencente ao gênero literário geologia nos fatos fornecidos?;Vertebrate Palaeontology (book);
Quem atua na disciplina de Geologia e está associado a um jornal específico chamado 'Journal of South American Earth Sciences'?;nenhum nome específico fornecido, mas o jornal é mencionado como pertencente à geologia;
