pergunta;resposta
Qual foi o nome oficial da dinastia Yuan na China?;大元 (Dà Yuán)
Quem fundou a dinastia Yuan?;Kublai Khan
Em que ano a dinastia Yuan foi formalmente estabelecida?;1271
Qual o nome chinês da capital da dinastia Yuan?;大都 (Dàdū)
Que império foi conquistado pela dinastia Yuan?;Império Song
Quem foi o líder da dinastia Yuan?;Kublai Khan
Qual o nome do título de Kublai Khan?;Khagan-Emperor
Quando a dinastia Yuan chegou ao fim?;1368
Que religião era popular na dinastia Yuan?;Buddhismo, Mongolian Tengrism/Chinese Heaven worship, Shamanism, Taoism, Confucianism, Chinese folk religion, Chinese Nestorian Christianity, Roman Catholic Christianity, Judaism, Chinese Manichaeism, Islam
Qual era o nome da dinastia fundada por Kublai Khan?;O Grande Yuan
