pergunta;resposta
Qual é a função do sistema imunológico no corpo?;Protege o organismo contra doenças.
Quem cunhou o termo 'sistema imunitário' em 1882?;Ilya Ilyich Mechnikov
Qual é um mecanismo imune básico presente na maioria dos eucariotas?;A fagocitose
O que são as defensinas?;Peptídeos antimicrobianos produzidos por epiteliais e glândulas secretoras.
Qual é o nome do sistema de proteínas que auxilia na destruição de microrganismos?;Sistema complemento
Em quais organismos vertebrados, os mecanismos imunológicos são mais complexos?;Vertebrados com sistema nervoso central.
O que é a imunidade humoral e mediada por células?;Dois tipos diferentes de imunidade.
Quais são os dois principais subsistemas do sistema imunológico?;Sistema imunológico inato e o sistema imunológico adaptativo
O que é o sistema neuroimune?;Sistema imunológico do cérebro.
Qual a condição médica causada por um sistema imunológico menos ativo?;Imunodeficiência
O que se chama quando o sistema imunológico ataca os próprios tecidos do corpo?;Autoimunidade
