pergunta;resposta
Quais são as cinco divisões de pesquisa acadêmica da Universidade de Chicago?;A universidade é composta por cinco divisões de pesquisa acadêmica.
Quantos alunos a Universidade de Chicago tem no total?;A universidade registra 18452 alunos no total.
Quais são exemplos de escolas profissionais da Universidade de Chicago?;Exemplos incluem a Escola de Medicina Pritzker, a Escola de Negócios Booth e a Faculdade de Direito.
Quantos ganhadores do Prêmio Nobel estão associados à Universidade de Chicago?;98 ganhadores do Prêmio Nobel eram afiliados à universidade em 2018.
Qual foi a contribuição científica da Universidade de Chicago durante a Segunda Guerra Mundial?;A universidade desenvolveu a primeira reação nuclear autossustentável (Chicago Pile-1) no Met Lab.
Qual é o ranking da Universidade de Chicago no USNWR mundial?;A universidade ocupa a 15ª posição no ranking USNWR mundial.
O que inclui o Centro Presidencial Barack Obama na Universidade de Chicago?;O centro inclui a biblioteca presidencial de Obama e os escritórios da Fundação Obama.
Quem é um ex-aluno notável da Universidade de Chicago?;Ex-alunos incluem Carl Sagan, Paul Romer e Barack Obama.
Quais são exemplos de laboratórios administrados pela Universidade de Chicago?;Exemplos incluem o Fermi National Accelerator Laboratory e o Argonne National Laboratory.
Qual é o tipo da Universidade de Chicago conforme os dados fornecidos?;A universidade é classificada como 'Abstraction100002137' e 'Agent'.
