pergunta;resposta
Qual é a capital de Vitória, Austrália?;Melbourne
Em que ano foi fundada a colônia de Vitória?;1851
Qual é o principal rio que atravessa Melbourne?;Rio Yarra
Qual é a principal atividade econômica de Vitória?;Agricultura, indústria e serviços
Qual é a flor oficial do estado de Vitória?;Papoula Kanguru Branca
Qual é o estádio de críquete mais famoso de Melbourne?;Melbourne Cricket Ground (MCG)
Qual é o idioma oficial de Vitória?;Inglês
Qual é o maior centro urbano de Vitória?;Melbourne
Qual é o apelido conhecido de Vitória?;O Jardim do Estado
Qual é a população estimada de Vitória?;Aproximadamente 6 milhões de pessoas
