pergunta;resposta
Quem fundou a dinastia Yuan?;Kublai Khan
Em que ano a dinastia Yuan foi formalmente estabelecida?;1271
Qual era a capital da dinastia Yuan?;Shangdu
Qual evento ocorreu antes da dinastia Yuan, de acordo com o texto?;Dali Kingdom
Qual moeda era utilizada na dinastia Yuan?;Cash (Chinese coin)
Quem morreu durante a dinastia Yuan, além de Chen Yuanjing?;Nasr al-Din (Yunnan)
Qual batalha teve a dinastia Yuan como combatente?;Battle of Ngasaunggyan
Qual templo foi estabelecido durante a dinastia Yuan?;Haihui Temple (Xiangtan)
Qual título era associado aos líderes da dinastia Yuan?;Khagan-Emperor
Qual dinastia ocorreu após a dinastia Yuan?;Song dynasty
