pergunta;resposta;responde
Qual é o número atômico do oxigênio?;8;
O que representa a massa atômica do oxigênio em unidades de massa atômica (u)?;16 u;
Qual é o grupo na tabela periódica ao qual o oxigênio pertence?;calcogénios;
O oxigênio é um elemento químico reactivo ou inerte?;reactivo;
Qual é o segundo elemento mais abundante na crosta terrestre em termos de massa, após o oxigênio?;siликат (silício);
Em que porcentagem aproximada do ar existe dioxigénio?;20,8%;
Quantos átomos de oxigênio formam um gás diatómico O2 em condições normais?;dois;
Qual é o nome do alótropo do oxigénio que consiste em três átomos (O3)?;ozono;
Quem descobriu independente o oxigênio primeiro?;Carl Wilhelm Scheele e Joseph Priestley;
Em que ano foi publicada a primeira descrição do oxigénio por Joseph Priestley?;;1774
