pergunta;resposta;responde
Qual é a capital e maior cidade de Victoria?;Melbourne;
Victoria faz fronteira com qual estado ao oeste?;Austrália Meridional;
Qual evento esportivo importante foi sediado no Melbourne Cricket Ground em 1956?;Jogos Olímpicos de Verão;
Qual é o tipo de código postal usado em Victoria?;;Postcodes in Australia
O que foi estabelecido na Baía de Sullivan em 1803?;o primeiro assentamento europeu;
Qual é o nome do maior estádio da Austrália e do Hemisfério Sul?;Melbourne Cricket Ground;
Qual é a temperatura mínima registrada em Victoria durante o mês de fevereiro?;-3.9°C;
Quantas cadeiras no Senado da Austrália têm representantes do estado de Victoria?;12;
Qual é a universidade mais antiga em Victoria?;Universidade de Melbourne;
Quem é o atual governador de Victoria?;Linda Dessau;
