pergunta;resposta
Qual a principal diferença entre a comutação de pacotes e a comutação de circuitos?;A comutação de pacotes encaminha pacotes individualmente, enquanto a comutação de circuitos estabelece uma ligação virtual dedicada para a transmissão.
Qual a vantagem da comutação de pacotes com ligação (circuito virtual)?;Oferece a garantia de entrega dos pacotes de forma ordenada.
Em qual paradigma de comutação de pacotes os pacotes são encaminhados independentemente?;No paradigma sem ligação (datagrama).
Qual a importância de enviar o endereço de origem na comutação de pacotes sem ligação?;Para garantir o roteamento correto dos pacotes.
Quais os nomes de pessoas conhecidas por seu trabalho em Packet Switching?;W. David Sincoskie, Donald Davies e Paul Baran.
O que é um hiperônimo para Packet Switching?;Method
Qual o tipo de modelo de página wiki utilizado por Packet Switching?;Template:Citation
Qual a data de início do artigo sobre Packet Switching?;2009-08-01
Em qual categoria do Wikimedia Commons se encontra o Packet Switching?;Category:Computer networking
Qual o tipo de entidade que representa Packet Switching?;PhysicalEntity100001930
