pergunta;resposta
Qual medida é frequentemente utilizada para avaliar a desigualdade econômica?;O Coeficiente de Gini.
A desigualdade econômica se refere apenas à distribuição de renda?;Não, ela também abrange a distribuição de riqueza.
De acordo com o texto, qual o efeito da desigualdade no crescimento econômico?;Uma maior desigualdade dificulta a duração do crescimento, mas não sua taxa.
Como a globalização impactou a desigualdade econômica?;Reduziu a desigualdade global entre nações, mas aumentou a desigualdade dentro dos países.
Além de riqueza e renda, qual outro aspecto é mencionado como foco em medidas de desigualdade econômica?;Consumo.
Qual índice composto estatístico leva em consideração a desigualdade?;O Índice de Desenvolvimento Humano Ajustado pela Desigualdade.
Quais são os três conceitos importantes de igualdade mencionados no texto?;Equidade, igualdade de resultados e igualdade de oportunidades.
Qual o assunto abordado nos livros 'Capital and Ideology' e 'Capital in the Twenty-First Century'?;Desigualdade econômica.
Quais são as áreas de atuação de Branko Milanović?;Desigualdade econômica.
Qual categoria de assunto está associada à desigualdade econômica?;Distribuição de riqueza.
