pergunta;resposta
Quando a Guerra Francesa e Indiana ocorreu?;1754–1763
Quais as duas principais potências europeias envolvidas na guerra?;França e Grã-Bretanha
Qual batalha em 1758 resultou em uma vitória significativa para os britânicos?;A queda de Louisbourg
Quem foi o comandante britânico responsável pelo cerco de Quebec em 1759?;James Wolfe
Quais tribos indígenas se aliaram à França durante a guerra?;Algonquins, Confederado Wabanaki e outras
Qual foi o resultado da guerra em termos de mudanças territoriais?;A França cedeu a maioria de suas terras na América do Norte à Grã-Bretanha
Quando a Espanha se envolveu na guerra e qual foi o desfecho?;"Em 1762; a Espanha cedeu a Louisiana à França"
Qual foi o número total de baixas registradas durante a guerra?;1.500 mortos por ferimentos
Quem foi o líder britânico cuja estratégia contribuiu significativamente para a vitória?;William Pitt the Elder
Qual foi o nome do tratado que encerrou a guerra em 1763?;Tratado de Paris
