pergunta;resposta
Quem cunhou o termo 'sistema imunitário'?;Ilya Ilyich Mechnikov
Quais são os dois principais subsistemas do sistema imunitário?;sistema imunológico inato versus o sistema imunológico adaptativo
O que é a imunidade adquirida e qual sua importância?;A imunidade adquirida permite a criação de memória imunológica, sendo a base da vacinação
Quais são alguns exemplos de células do sistema imunitário?;T cell, B cell, macrófago, neutrófilo, linfócito
O que acontece em uma imunodeficiência?;A atividade do sistema imunitário é inferior ao normal, levando a infecções recorrentes
O que é a autoimunidade e como ela se manifesta?;É um sistema imunitário hiperativo que ataca tecidos normais, como na artrite ou diabetes
Quais mecanismos imunitários básicos estão presentes em eucariotos?;Fagocitose, peptídeos antimicrobianos chamados defensinas e o sistema complemento
Como o sistema imunitário evoluiu em organismos unicelulares?;Eles possuem um sistema imunitário rudimentar com enzimas que protegem contra bacteriófagos
Quais são as causas da imunodeficiência?;Doenças genéticas, HIV/SIDA ou uso de imunossupressores
Qual é a relação entre a imunidade adquirida e a vacinação?;A imunidade adquirida cria memória imunológica, essencial para a vacinação
