pergunta;resposta
Em qual mar o rio Reno deságua?;mar do Norte
Qual é o comprimento aproximado do rio Reno?;1.233 km
Qual rio tem a montanha na foz Rhine?;Itter (Rhine)
Qual é a subdivisão do Reno na França?;Alsace
Qual rio possui a foz localizada em Rhine?;Wupper
Qual rio é um afluente do Reno e tem sua foz em Rhine?;Kriegbach
Qual rio deságua no sistema fluvial do Reno?;Zeubach (Wiesent)
Qual é a elevação na foz do rio Reno?;0.0
Qual cidade é mencionada como tendo uma ponte que cruza o rio Reno?;Emmerich
Qual é a origem do rio Reno?;Switzerland
