pergunta;resposta
Quem formulou originalmente o conceito de desobediência civil?;Henry David Thoreau
Em qual país Mahatma Gandhi aplicou com sucesso a desobediência civil?;Índia e Paquistão
Qual movimento de direitos civis nos Estados Unidos utilizou a desobediência civil como estratégia?;Movimento pelos Direitos Civis liderado por Martin Luther King Jr.
O que é uma categoria associada à desobediência civil na wiki?;Category:Civil disobedience
Qual modelo de página wiki é usado para referências em páginas sobre desobediência civil?;Template:Media culture
Que protestos em Montenegro utilizaram a desobediência civil como método?;2018–2019 Iranian general strikes and protests
Qual é o hiperônimo da desobediência civil?;Refusal
O que representa a imagem do Commons relacionada à desobediência civil?;Benjamin D. Maxham - Henry David Thoreau - Restored - greyscale - straightened.jpg
Quem é conhecido por sua participação em atos de desobediência civil na Índia?;Veliyankode Umar Khasi
Qual modelo de página wiki é usado para a barra de portais em páginas sobre desobediência civil?;Template:Portal bar
