pergunta;resposta
Qual a origem étnica da aristocracia normanda?;Viquingues da Escandinávia.
Qual o significado da palavra 'normano' em termos de origem etimológica?;Significa 'homens do Norte'.
Além da colonização da Normandia, qual outro evento importante envolveu os normandos?;A Conquista Normanda da Inglaterra.
Quais religiões eram seguidas pelos normandos?;Norse paganism e Christianity.
Qual idioma era falado pelos normandos?;Old Norse.
Qual a relação entre os normandos e o modelo de página wiki 'Template:Norse people'?;Os normandos usam este modelo de página wiki.
Qual o papel dos normandos no estabelecimento de estados na Europa Medieval?;Eles estabeleceram estados na Sicília e sul da península Itálica.
Qual a nacionalidade de Richard of Salerno?;Normans.
Qual a etnia de Philbin?;Normans.
Qual o estilo arquitetônico seguido pela St Bride's Church, Llansantffraed?;Normans.
