pergunta;resposta
Em que ano a British Satellite Broadcasting foi incorporada?;1990
Qual foi a data de início das transmissões da British Satellite Broadcasting?;25 de março de 1990
Além de The Movie Channel, qual outro canal de televisão era de propriedade da British Satellite Broadcasting?;The Power Station (TV channel)
Qual o nome do filme produzido pela British Satellite Broadcasting?;Memphis Belle (film)
A British Satellite Broadcasting foi sucedida por qual empresa?;Sky UK
Em qual localidade a British Satellite Broadcasting estava localizada?;London
Qual o nome de um dos canais de televisão de propriedade da British Satellite Broadcasting?;Galaxy (British TV channel)
Em qual ano a British Satellite Broadcasting foi fundada?;1986
Qual o nome de outro filme produzido pela British Satellite Broadcasting?;Hardware (film)
Qual era o tipo de empresa British Satellite Broadcasting?;Organisation
