pergunta;resposta
Qual é a origem da palavra 'farmácia'?;A palavra 'farmácia' vem do grego 'pharmakon', que significa medicamento, feitiçaria ou veneno.
Quais produtos eram comuns em farmácias antigas?;Farmácias antigas vendiam ingredientes para medicamentos, tabaco e medicamentos patenteados.
O que a raiz grega 'pharmakon' implica?;A raiz grega 'pharmakon' implica 'medicamento', mas também pode significar 'feitiçaria' ou 'veneno'.
Como o termo 'boticário' é percebido hoje?;O termo 'boticário' é visto como desatualizado, exceto em contextos onde remédios à base de plantas são oferecidos.
Quais outros ingredientes eram usados pelos farmacêuticos?;Farmacêuticos usavam muitas outras ervas não listadas na história.
Que categoria de profissionais são os farmacêuticos?;Farmacêuticos são profissionais de saúde, pertencendo à categoria de 'medicinal chemistry'.
Quais resultados de saúde os farmacêuticos buscam?;Farmacêuticos buscam resultados de saúde para seus pacientes, como a otimização de tratamentos.
Para que tipo de tratamento os farmacêuticos são essenciais?;Farmacêuticos são essenciais para a otimização de um tratamento medicamentoso individualizado.
Quais outros papéis os farmacêuticos desempenham?;Muitos farmacêuticos também são proprietários de pequenas empresas ou farmácias.
Quais são as preparações necessárias para ser farmacêutico?;Farmacêuticos possuem educação e treinamento especializados, incluindo diplomas em farmácia.
