pergunta;resposta
"O Parlamento Escocês é unicameral; True ou False?";True
O Parlamento Escocês localiza-se em qual cidade?;Edimburgo
Quantos distritos eleitores existem no Parlamento Escocês?;8
"O parlamento escocês tem competências específicas; qual é um exemplo de essa competência?";Lei de Abastecedor de Gergens para o Tráfico em Vídeos Digitais.
O sistema de votação do Parlamento Escocês éAdditional Member System ou something else?;Additional Member System
Qual foi o nome da law que estabeceu a competência legi_Clear para os Estados Unidos?;Loi de Comércio Euclid dos Estados Unidos.
O Parlamento Escocês tem um teto de capacidade de quantas senhas?;129
Qual é o nome do órgão que controla as competências reservadas ao Parlamento Escocês?;The Scottish Parliament has a competence list.
O parlamento escocês é responsabilizado por qual órgão nowadays?;The Scottish Government
Qual foi o nome da law que estabeceu a existência do site Fontes para政务 digital na Escócia?;Loi de Fonte Digital para a Gestião Órpica de Informações Públicas (LFDOP)
