pergunta;resposta
Qual foi a principal causa do embargo petrolífero em 1973?;A Guerra do Yom Kippur
Quais foram os países que receberam o boicote por parte das Árabes durante a crise de 1973?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos
Qual foi o aumento no preço do petróleo em dólares americanos entre 1973 e 1974?;Depois de US$ 3 para cerca de US$ 12
Em qual data a crise petrolífera foi considerada como o primeiro choque do petróleo?;1973
Qual país não teve seu embargo de petróleo levantado até o final da crise em 1974?;Portugal, Rodésia e África do Sul
O que os Estados Unidos fizeram para evitar serem afetados pelo embargo petrolífero de 1973?;Negociaram um acordo com Israel para retirar suas tropas das Colinas de Golan e da Península do Sinai
Em que ano a Organização dos Países Exportadores de Petróleo (OPEP) levantou o embargo petrolífero?;1974
Qual foi o principal efeito econômico da crise do petróleo em 1973 no mundo?;As taxas de juros subiram, resultando na inflação
Como a crise petrolífera afetou as economias dos países ocidentais?;Muitos países enfrentaram problemas financeiros e de abastecimento
Qual foi o principal argumento usado por Israel para justificar sua intervenção na Guerra do Yom Kippur?;Israel alegava que estava protegendo seu território nas Colinas de Golan e no Sinai.
